Interest Code;Job Zone;Code;Occupation
AC;4;27-4032.00;Film and Video Editors
AC;4;27-1024.00;Graphic Designers
ACE;4;27-3041.00;Editors
ACR;1-2;39-3092.00;Costume Attendants
AE;4;27-1011.00;Art Directors
AE;4;27-2041.00;Music Directors and Composers
AE;4;27-2042.00;Musicians and Singers
AE;4;27-2012.00;Producers and Directors
AE;4;27-3043.00;Writers and Authors
AEC;1-2;27-2091.00;Disc Jockeys, Except Radio
AES;4;27-3011.00;Broadcast Announcers and Radio Disc Jockeys
AI;4;27-3043.05;Poets, Lyricists and Creative Writers
AI;4;15-1255.01;Video Game Designers
AIE;4;27-3023.00;News Analysts, Reporters, and Journalists
AR;3;27-1012.00;Craft Artists
AR;3;27-1013.00;Fine Artists, Including Painters, Sculptors, and Illustrators
AR;4;27-1025.00;Interior Designers
AR;3;39-5091.00;Makeup Artists, Theatrical and Performance
AR;4;27-1014.00;Special Effects Artists and Animators
ARC;3;27-4031.00;Camera Operators, Television, Video, and Film
ARE;3;27-1022.00;Fashion Designers
ARE;3;27-1026.00;Merchandise Displayers and Window Trimmers
ARE;1-2;41-9012.00;Models
ARI;4;27-1021.00;Commercial and Industrial Designers
ARS;3;27-2031.00;Dancers
AS;3;27-2032.00;Choreographers
ASE;1-2;27-2011.00;Actors
CA;4;43-9081.00;Proofreaders and Copy Markers
CAI;4;27-3042.00;Technical Writers
CAR;3;43-9031.00;Desktop Publishers
CAS;4;27-3091.00;Interpreters and Translators
CE;4;13-2023.00;Appraisers and Assessors of Real Estate
CE;3;43-3031.00;Bookkeeping, Accounting, and Auditing Clerks
CE;3;43-4011.00;Brokerage Clerks
CE;1-2;43-5011.00;Cargo and Freight Agents
CE;1-2;41-2011.00;Cashiers
CE;4;11-9199.02;Compliance Managers
CE;4;13-1041.00;Compliance Officers
CE;1-2;43-4021.00;Correspondence Clerks
CE;4;13-1051.00;Cost Estimators
CE;3;13-1041.08;Customs Brokers
CE;1-2;43-3041.00;Gambling Cage Workers
CE;1-2;41-2012.00;Gambling Change Persons and Booth Cashiers
CE;1-2;39-3012.00;Gambling and Sports Book Writers and Runners
CE;3;13-1041.04;Government Property Inspectors and Investigators
CE;1-2;43-9041.00;Insurance Claims and Policy Processing Clerks
CE;3;43-6012.00;Legal Secretaries and Administrative Assistants
CE;4;11-9199.08;Loss Prevention Managers
CE;4;13-1199.06;Online Merchants
CE;1-2;43-4151.00;Order Clerks
CE;3;43-3051.00;Payroll and Timekeeping Clerks
CE;1-2;43-5061.00;Production, Planning, and Expediting Clerks
CE;3;13-2081.00;Tax Examiners and Collectors, and Revenue Agents
CE;3;13-2082.00;Tax Preparers
CE;1-2;43-3071.00;Tellers
CE;1-2;23-2093.00;Title Examiners, Abstractors, and Searchers
CE;4;11-3031.01;Treasurers and Controllers
CEI;4;13-2011.00;Accountants and Auditors
CEI;5;23-1021.00;Administrative Law Judges, Adjudicators, and Hearing Officers
CEI;4;13-2031.00;Budget Analysts
CEI;4;13-1031.00;Claims Adjusters, Examiners, and Investigators
CEI;4;11-3021.00;Computer and Information Systems Managers
CEI;4;13-2041.00;Credit Analysts
CEI;4;13-2061.00;Financial Examiners
CEI;4;13-2051.00;Financial and Investment Analysts
CEI;4;13-2053.00;Insurance Underwriters
CEI;5;23-1012.00;Judicial Law Clerks
CEI;4;13-1081.00;Logisticians
CEI;4;13-1081.02;Logistics Analysts
CEI;3;33-9021.00;Private Detectives and Investigators
CEI;4;11-3051.01;Quality Control Systems Managers
CEI;4;13-1041.07;Regulatory Affairs Specialists
CER;4;13-2022.00;Appraisers of Personal and Business Property
CER;4;11-9199.11;Brownfield Redevelopment Specialists and Site Managers
CER;3;33-3051.04;Customs and Border Protection Officers
CER;1-2;43-5011.01;Freight Forwarders
CER;1-2;39-3011.00;Gambling Dealers
CER;1-2;33-9031.00;Gambling Surveillance Officers and Gambling Investigators
CER;1-2;31-9095.00;Pharmacy Aides
CER;1-2;43-3061.00;Procurement Clerks
CER;4;13-1023.00;Purchasing Agents, Except Wholesale, Retail, and Farm Products
CER;1-2;33-9099.02;Retail Loss Prevention Specialists
CES;1-2;43-3011.00;Bill and Account Collectors
CES;4;13-1141.00;Compensation, Benefits, and Job Analysis Specialists
CES;1-2;41-2021.00;Counter and Rental Clerks
CES;1-2;43-4031.00;Court, Municipal, and License Clerks
CES;1-2;43-4041.00;Credit Authorizers, Checkers, and Clerks
CES;5;25-4012.00;Curators
CES;1-2;43-4051.00;Customer Service Representatives
CES;3;43-6011.00;Executive Secretaries and Executive Administrative Assistants
CES;3;43-4161.00;Human Resources Assistants, Except Payroll and Timekeeping
CES;3;43-4131.00;Loan Interviewers and Clerks
CES;4;13-2072.00;Loan Officers
CES;3;39-4031.00;Morticians, Undertakers, and Funeral Arrangers
CES;3;43-4141.00;New Accounts Clerks
CES;1-2;43-4171.00;Receptionists and Information Clerks
CES;1-2;43-6014.00;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive
CI;5;25-4011.00;Archivists
CI;4;15-1299.07;Blockchain Engineers
CI;4;15-2051.02;Clinical Data Managers
CI;4;15-1251.00;Computer Programmers
CI;4;15-1243.01;Data Warehousing Specialists
CI;4;15-1242.00;Database Administrators
CI;4;15-1243.00;Database Architects
CI;4;15-1299.03;Document Management Specialists
CI;4;15-1212.00;Information Security Analysts
CI;3;29-2072.00;Medical Records Specialists
CI;4;43-9111.00;Statistical Assistants
CI;3;15-1254.00;Web Developers
CIE;4;15-2011.00;Actuaries
CIE;4;15-2051.01;Business Intelligence Analysts
CIE;4;13-2054.00;Financial Risk Specialists
CIE;4;13-2099.04;Fraud Examiners, Investigators and Analysts
CIE;4;13-1111.00;Management Analysts
CIE;3;23-2011.00;Paralegals and Legal Assistants
CIE;4;15-1299.01;Web Administrators
CIR;4;17-1021.00;Cartographers and Photogrammetrists
CIR;4;15-1231.00;Computer Network Support Specialists
CIR;3;15-1299.08;Computer Systems Engineers/Architects
CIR;4;13-1041.01;Environmental Compliance Inspectors
CIR;3;15-1299.02;Geographic Information Systems Technologists and Technicians
CIR;4;17-2112.00;Industrial Engineers
CIR;4;15-1299.05;Information Security Engineers
CIR;4;13-1081.01;Logistics Engineers
CIR;3;19-4099.01;Quality Control Analysts
CIR;4;13-1199.07;Security Management Specialists
CIS;3;29-9021.00;Health Information Technologists and Medical Registrars
CR;3;27-4012.00;Broadcast Technicians
CR;1-2;43-5021.00;Couriers and Messengers
CR;1-2;43-9021.00;Data Entry Keyers
CR;1-2;43-5032.00;Dispatchers, Except Police, Fire, and Ambulance
CR;1-2;45-4023.00;Log Graders and Scalers
CR;1-2;43-9051.00;Mail Clerks and Mail Machine Operators, Except Postal Service
CR;1-2;43-5041.00;Meter Readers, Utilities
CR;1-2;43-9071.00;Office Machine Operators, Except Computer
CR;3;29-2081.00;Opticians, Dispensing
CR;3;29-2052.00;Pharmacy Technicians
CR;1-2;43-5051.00;Postal Service Clerks
CR;1-2;43-5052.00;Postal Service Mail Carriers
CR;1-2;43-5053.00;Postal Service Mail Sorters, Processors, and Processing Machine Operators
CR;3;51-5111.00;Prepress Technicians and Workers
CR;1-2;51-5113.00;Print Binding and Finishing Workers
CR;1-2;51-5112.00;Printing Press Operators
CR;4;53-6051.00;Transportation Inspectors
CR;1-2;33-9093.00;Transportation Security Screeners
CR;1-2;43-5111.00;Weighers, Measurers, Checkers, and Samplers, Recordkeeping
CRE;3;53-2021.00;Air Traffic Controllers
CRE;3;53-2022.00;Airfield Operations Specialists
CRE;4;11-3051.04;Biomass Power Plant Managers
CRE;3;53-2012.00;Commercial Pilots
CRE;3;13-1032.00;Insurance Appraisers, Auto Damage
CRE;1-2;43-5071.00;Shipping, Receiving, and Inventory Clerks
CRE;1-2;53-7065.00;Stockers and Order Fillers
CRE;1-2;43-2011.00;Switchboard Operators, Including Answering Service
CRI;3;53-6051.01;Aviation Inspectors
CRI;4;19-4021.00;Biological Technicians
CRI;1-2;51-9162.00;Computer Numerically Controlled Tool Programmers
CRI;3;15-1232.00;Computer User Support Specialists
CRI;3;47-4011.01;Energy Auditors
CRI;4;15-1244.00;Network and Computer Systems Administrators
CRI;3;19-5012.00;Occupational Health and Safety Technicians
CRI;3;33-3021.02;Police Identification and Records Officers
CRI;4;17-2072.01;Radio Frequency Identification Device Specialists
CRI;4;19-4099.03;Remote Sensing Technicians
CRI;4;17-1022.00;Surveyors
CRI;3;15-1241.01;Telecommunications Engineering Specialists
CRS;3;31-9091.00;Dental Assistants
CRS;1-2;35-3023.00;Fast Food and Counter Workers
CRS;1-2;39-3093.00;Locker Room, Coatroom, and Dressing Room Attendants
CRS;1-2;43-5031.00;Public Safety Telecommunicators
CS;1-2;43-4121.00;Library Assistants, Clerical
CS;3;25-4031.00;Library Technicians
CS;1-2;43-6013.00;Medical Secretaries and Administrative Assistants
CSE;4;13-2071.00;Credit Counselors
CSE;3;43-4061.00;Eligibility Interviewers, Government Programs
CSE;1-2;43-4081.00;Hotel, Motel, and Resort Desk Clerks
CSE;3;43-4111.00;Interviewers, Except Eligibility and Loan
CSE;1-2;43-4181.00;Reservation and Transportation Ticket Agents and Travel Clerks
CSE;1-2;43-2021.00;Telephone Operators
CSE;1-2;39-3031.00;Ushers, Lobby Attendants, and Ticket Takers
CSI;5;29-1071.01;Anesthesiologist Assistants
CSI;5;25-4022.00;Librarians and Media Collections Specialists
CSI;3;31-9094.00;Medical Transcriptionists
CSR;1-2;39-3091.00;Amusement and Recreation Attendants
CSR;1-2;53-2031.00;Flight Attendants
CSR;3;31-9092.00;Medical Assistants
CSR;1-2;53-6061.00;Passenger Attendants
CSR;1-2;35-3031.00;Waiters and Waitresses
EAS;4;27-3031.00;Public Relations Specialists
EAS;4;27-2012.04;Talent Directors
EC;5;11-1011.00;Chief Executives
EC;1-2;41-9011.00;Demonstrators and Product Promoters
EC;4;11-3031.00;Financial Managers
EC;1-2;33-1012.00;First-Line Supervisors of Police and Detectives
EC;1-2;11-9071.00;Gambling Managers
EC;4;11-1021.00;General and Operations Managers
EC;4;11-2021.00;Marketing Managers
EC;4;13-1082.00;Project Management Specialists
EC;4;11-9141.00;Property, Real Estate, and Community Association Managers
EC;4;11-3061.00;Purchasing Managers
EC;4;41-9021.00;Real Estate Brokers
EC;4;11-9199.01;Regulatory Affairs Managers
EC;1-2;41-2031.00;Retail Salespersons
EC;4;41-9031.00;Sales Engineers
EC;4;11-2022.00;Sales Managers
EC;4;41-4012.00;Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products
EC;4;41-4011.00;Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products
EC;4;41-3031.00;Securities, Commodities, and Financial Services Sales Agents
EC;4;11-3013.01;Security Managers
EC;4;11-3071.04;Supply Chain Managers
EC;4;11-3071.00;Transportation, Storage, and Distribution Managers
EC;4;11-9199.10;Wind Energy Development Managers
ECA;4;41-3011.00;Advertising Sales Agents
ECA;4;11-2011.00;Advertising and Promotions Managers
ECA;4;27-2012.03;Media Programming Directors
ECI;4;13-1199.04;Business Continuity Planners
ECI;4;11-9161.00;Emergency Management Directors
ECI;4;15-1299.09;Information Technology Project Managers
ECI;5;11-3031.03;Investment Fund Managers
ECI;5;23-1011.00;Lawyers
ECI;4;13-1161.00;Market Research Analysts and Marketing Specialists
ECI;4;13-1161.01;Search Marketing Strategists
ECR;1-2;53-1041.00;Aircraft Cargo Handling Supervisors
ECR;4;11-3051.03;Biofuels Production Managers
ECR;4;13-1021.00;Buyers and Purchasing Agents, Farm Products
ECR;4;11-9021.00;Construction Managers
ECR;1-2;41-9091.00;Door-to-Door Sales Workers, News and Street Vendors, and Related Workers
ECR;3;11-3013.00;Facilities Managers
ECR;3;47-1011.00;First-Line Supervisors of Construction Trades and Extraction Workers
ECR;1-2;35-1012.00;First-Line Supervisors of Food Preparation and Serving Workers
ECR;1-2;39-1013.00;First-Line Supervisors of Gambling Services Workers
ECR;1-2;37-1011.00;First-Line Supervisors of Housekeeping and Janitorial Workers
ECR;3;37-1012.00;First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers
ECR;3;53-1043.00;First-Line Supervisors of Material-Moving Machine and Vehicle Operators
ECR;3;49-1011.00;First-Line Supervisors of Mechanics, Installers, and Repairers
ECR;3;51-1011.00;First-Line Supervisors of Production and Operating Workers
ECR;1-2;33-1091.00;First-Line Supervisors of Security Workers
ECR;1-2;11-9051.00;Food Service Managers
ECR;4;11-3051.00;Industrial Production Managers
ECR;4;27-2012.05;Media Technical Directors/Managers
ECR;1-2;53-1042.01;Recycling Coordinators
ECR;3;41-4011.07;Solar Sales Representatives and Assessors
ECR;1-2;27-2023.00;Umpires, Referees, and Other Sports Officials
ECR;3;13-1022.00;Wholesale and Retail Buyers, Except Farm Products
ECR;3;11-9199.09;Wind Energy Operations Managers
ECS;3;11-3012.00;Administrative Services Managers
ECS;5;23-1022.00;Arbitrators, Mediators, and Conciliators
ECS;4;11-3111.00;Compensation and Benefits Managers
ECS;4;11-9072.00;Entertainment and Recreation Managers, Except Gambling
ECS;4;13-1041.03;Equal Opportunity Representatives and Officers
ECS;3;33-1011.00;First-Line Supervisors of Correctional Officers
ECS;1-2;39-1014.00;First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services
ECS;1-2;53-1042.00;First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand
ECS;4;41-1012.00;First-Line Supervisors of Non-Retail Sales Workers
ECS;3;43-1011.00;First-Line Supervisors of Office and Administrative Support Workers
ECS;3;53-1044.00;First-Line Supervisors of Passenger Attendants
ECS;3;39-1022.00;First-Line Supervisors of Personal Service Workers
ECS;1-2;41-1011.00;First-Line Supervisors of Retail Sales Workers
ECS;4;11-2033.00;Fundraising Managers
ECS;3;11-9171.00;Funeral Home Managers
ECS;4;11-3121.00;Human Resources Managers
ECS;4;13-1071.00;Human Resources Specialists
ECS;4;41-3021.00;Insurance Sales Agents
ECS;5;23-1023.00;Judges, Magistrate Judges, and Magistrates
ECS;4;13-1075.00;Labor Relations Specialists
ECS;4;11-9081.00;Lodging Managers
ECS;4;11-9111.00;Medical and Health Services Managers
ECS;4;13-1121.00;Meeting, Convention, and Event Planners
